,yaw,yaw deg,acc angle dot,gyro angle dot,acc angle cross,gyro angle cross,uva,uva cali,azimuth ,az deg,acc dot deg,acc cross deg,gyro dot deg
2906,0.186481183,10.68458474,1.034465049,1.455856359,1.034465049,1.455856359,21,0.0038,6.096704124,349.3154153,59.27048133,59.27048133,83.41442493
2907,0.287543309,16.47501806,1.002015649,1.30824059,1.002015649,1.30824059,9,-0.121,5.995641998,343.5249819,57.41126767,57.41126767,74.95666438
2908,0.741339804,42.47564196,0.768844374,0.910248009,0.768844374,0.910248009,9,-0.121,5.541845503,317.524358,44.05153771,44.05153771,52.15336922
2909,1.891008593,108.3468114,0.718159991,1.947694504,0.718159991,1.193898149,10,-0.1106,4.392176714,251.6531886,41.14753652,41.14753652,111.5946749
2910,2.668554222,152.8968943,1.07700652,1.57776624,1.07700652,1.563826414,29,0.087,3.614631085,207.1031057,61.70792811,61.70792811,90.3993466
2911,2.271510754,130.1479793,0.790699698,2.273345039,0.790699698,0.868247615,19,-0.017,4.011674553,229.8520207,45.30375558,45.30375558,130.2530761
2912,2.397309923,137.3557408,0.858078453,1.846947418,0.858078453,1.294645236,16,-0.0482,3.885875384,222.6442592,49.16427385,49.16427385,105.822292
2913,2.819976319,161.5727414,1.176383645,2.248253218,1.176383645,0.893339436,15,-0.0586,3.463208988,198.4272586,67.40181795,67.40181795,128.8154207
2914,0.819889561,46.97621151,0.695296482,1.787806358,0.695296482,1.353786295,14,-0.069,5.463295746,313.0237885,39.83755392,39.83755392,102.4337589
2915,0.509158038,29.1726067,0.951341299,1.735405694,0.951341299,1.40618696,9,-0.121,5.774027269,330.8273933,54.50784133,54.50784133,99.43142199
2916,1.359712892,77.90581006,0.554763185,2.319582522,0.554763185,0.822010131,4,-0.173,4.923472415,282.0941899,31.78558913,31.78558913,132.9022888
2917,2.013078875,115.3409233,0.693874899,1.950581812,0.693874899,1.191010841,11,-0.1002,4.270106433,244.6590767,39.75610321,39.75610321,111.7601054
2918,0.72078725,41.29806735,0.775936579,1.683696192,0.775936579,1.457896462,10,-0.1106,5.562398057,318.7019326,44.45789115,44.45789115,96.46868576
2919,0.084519174,4.842591986,1.125872278,2.028630627,1.125872278,1.112962026,10,-0.1106,6.198666133,355.157408,64.50772979,64.50772979,116.2319731
2920,-1.07873442,-61.80692947,1.590426038,1.771542295,1.551166615,1.370050359,45,0.2534,1.07873442,61.80692947,91.12469963,88.87530037,101.5018967
2921,-2.857982479,-163.750334,1.349272478,1.9958067,1.349272478,1.145785954,144,1.283,2.857982479,163.750334,77.30761842,77.30761842,114.3513006
2922,1.563287025,89.56974867,0.58158716,2.158733979,0.58158716,0.982858674,68,0.4926,4.719898283,270.4302513,33.3224897,33.3224897,123.6863461
2923,0.870859727,49.89658688,0.621897161,2.349843735,0.621897161,0.791748918,22,0.0142,5.412325581,310.1034131,35.63208261,35.63208261,134.6361285
2924,0.681856449,39.06749678,0.808185842,2.050964588,0.808185842,1.090628065,12,-0.0898,5.601328858,320.9325032,46.30563782,46.30563782,117.5116148
2925,1.057137598,60.56952275,0.666340182,1.613114485,0.666340182,1.528478168,10,-0.1106,5.226047709,299.4304772,38.17848017,38.17848017,92.42465187
2926,-2.933740336,-168.0909394,1.19241448,1.495099329,1.19241448,1.495099329,30,0.0974,2.933740336,168.0909394,68.32031712,68.32031712,85.6628815
