,yaw,acc angle dot,gyro angle dot,acc angle cross,gyro angle cross,uva,uva cali,accdot deg,azimuth,azi deg
5579,3.059870153,2.509797768,1.909935321,0.631794885,1.231657333,30,0.0974,143.8008196,3.223315154,184.6823544
5580,,,0.939435928,,0.939435928,28,0.0766,0,0,0
5581,,,0.680056734,,0.680056734,16,-0.0482,0,0,0
5582,,,0.957180088,,0.957180088,36,0.1598,0,0,0
5583,,,1.125284069,,1.125284069,53,0.3366,0,0,0
5584,-1.747167592,1.720584629,1.316734991,1.421008024,1.316734991,173,1.5846,98.58223756,1.747167592,100.1053291
5585,1.125936875,1.256347006,1.647263126,1.256347006,1.494329527,72,0.5342,71.98338103,5.157248432,295.488569
5586,,,2.374922511,,0.766670143,47,0.2742,0,0,0
5587,,,0.867531259,,0.867531259,31,0.1078,0,0,0
5588,,,0.774076516,,0.774076516,18,-0.0274,0,0,0
5589,,,1.145970518,,1.145970518,96,0.7838,0,0,0
5590,,,1.150802011,,1.150802011,99,0.815,0,0,0
5591,,,2.226811919,,0.914780734,75,0.5654,0,0,0
5592,,,1.097014484,,1.097014484,65,0.4614,0,0,0
5593,,,1.754087475,,1.387505179,44,0.243,0,0,0
5594,,,1.572474164,,1.569118489,128,1.1166,0,0,0
5595,,,1.102850629,,1.102850629,81,0.6278,0,0,0
5596,,,1.903543912,,1.238048742,31,0.1078,0,0,0
5597,-0.469415981,2.418348029,1.962890654,0.723244624,1.178701999,28,0.0766,138.5611355,0.469415981,26.89555456
5598,-2.530812692,1.76949481,1.738544221,1.372097844,1.403048433,104,0.867,101.3845845,2.530812692,145.004886
5599,,,2.294401014,,0.847191639,59,0.399,0,0,0
5600,1.50194792,0.860668879,2.527664135,0.860668879,0.613928518,95,0.7734,49.31269434,4.781237388,273.9447232
5601,,,2.983909619,,0.157683035,118,1.0126,0,0,0
5602,,,1.452842586,,1.452842586,35,0.1494,0,0,0
5603,-0.254919332,1.487404245,0.114302226,1.487404245,0.114302226,46,0.2638,85.22198566,0.254919332,14.60580182
5604,,,0.228160633,,0.228160633,44,0.243,0,0,0
5605,-0.106067023,1.757321114,0.963850742,1.384271539,0.963850742,41,0.2118,100.6870831,0.106067023,6.077192766
5606,-1.992701503,2.075342895,0.581292316,1.066249758,0.581292316,46,0.2638,118.9083889,1.992701503,114.173386
5607,,,1.723205,,1.418387654,29,0.087,0,0,0
5608,-1.871989702,2.531462296,1.290321951,0.610130357,1.290321951,23,0.0246,145.0421056,1.871989702,107.2571092
5609,1.664589045,0.647479607,2.553197326,0.647479607,0.588395327,48,0.2846,37.0978488,4.618596262,264.6260731
5610,1.269165582,0.708130802,1.314137992,0.708130802,1.314137992,29,0.087,40.5729063,5.014019726,287.2821687
5611,-0.460971632,0.902796805,2.442530617,0.902796805,0.699062036,38,0.1806,51.72644666,0.460971632,26.41172896
5612,-0.632857965,0.816196802,2.600678561,0.816196802,0.540914093,127,1.1062,46.76463201,0.632857965,36.26009041
5613,-2.03682891,2.063222914,0.881384472,1.07836974,0.881384472,101,0.8358,118.2139652,2.03682891,116.7017001
5614,,,0.748227316,,0.748227316,55,0.3574,0,0,0
5615,,,0.598857677,,0.598857677,22,0.0142,0,0,0
5616,,,1.787333352,,1.354259301,17,-0.0378,0,0,0
5617,,,0.95752444,,0.95752444,49,0.295,0,0,0
5618,,,1.02797963,,1.02797963,83,0.6486,0,0,0
5619,-0.776604339,1.416504856,1.875402895,1.416504856,1.266189759,48,0.2846,81.15974991,0.776604339,44.49615096
5620,,,1.522786456,,1.522786456,25,0.0454,0,0,0
5621,-1.174616182,1.307498955,1.616898938,1.307498955,1.524693715,40,0.2014,74.91417181,1.174616182,67.30054979
5622,-0.593098636,1.14438924,1.758818539,1.14438924,1.382774114,23,0.0246,65.56867355,0.593098636,33.98204869
5623,,,2.036310398,,1.105282255,67,0.4822,0,0,0
5624,,,1.066005224,,1.066005224,30,0.0974,0,0,0
5625,-1.916893125,1.959822173,1.629608264,1.181770481,1.511984389,52,0.3262,112.2895391,1.916893125,109.8298859
5626,,,1.740366248,,1.401226406,50,0.3054,0,0,0
5627,,,2.269283012,,0.872309641,56,0.3678,0,0,0
5628,,,2.188900006,,0.952692648,192,1.7822,0,0,0
5629,-0.250020182,1.642661031,2.146589368,1.498931622,0.995003285,125,1.0854,94.11754425,0.250020182,14.32510124
5630,,,1.142963434,,1.142963434,120,1.0334,0,0,0
5631,0.84237687,1.718321812,0.832487254,1.423270841,0.832487254,61,0.4198,98.45258769,5.440808437,311.7353606
5632,,,2.255960616,,0.885632038,84,0.659,0,0,0
5633,-2.696098066,1.730917477,1.962658084,1.410675177,1.17893457,134,1.179,99.17426611,2.696098066,154.4750403
5634,,,0.670976178,,0.670976178,65,0.4614,0,0,0
5635,0.651962118,1.848881444,0.636077508,1.29271121,0.636077508,43,0.2326,105.9331035,5.631223189,322.6453223
5636,,,0.785760231,,0.785760231,179,1.647,0,0,0
5637,,,1.057554477,,1.057554477,79,0.607,0,0,0
5638,-0.906027818,0.860453595,1.540642649,0.860453595,1.540642649,96,0.7838,49.30035943,0.906027818,51.91157007
5639,0.636860659,1.688605561,2.442016281,1.452987093,0.699576373,62,0.4302,96.74997191,5.646324648,323.5105721
5640,,,2.95691967,,0.184672984,30,0.0974,0,0,0
5641,,,1.299602366,,1.299602366,28,0.0766,0,0,0
5642,-2.745637351,1.920577641,2.967014052,1.221015013,0.174578601,48,0.2846,110.040993,2.745637351,157.3134323
5643,0.93943607,1.466632113,1.851907375,1.466632113,1.289685279,20,-0.0066,84.03183015,5.343749237,306.1742781
5644,,,2.501257391,,0.640335263,27,0.0662,0,0,0
5645,-0.134074359,2.140878857,0.752196036,1.000713797,0.752196036,54,0.347,122.6633229,0.134074359,7.681894884
5646,,,1.323100622,,1.323100622,44,0.243,0,0,0
5647,,,0.609417242,,0.609417242,46,0.2638,0,0,0
5648,,,0.231956267,,0.231956267,51,0.3158,0,0,0
5649,,,2.677747808,,0.463844846,95,0.7734,0,0,0
5650,-1.383895123,1.305035797,2.738515409,1.305035797,0.403077245,95,0.7734,74.77304326,1.383895123,79.29134982
5651,,,2.329629749,,0.811962905,128,1.1166,0,0,0
5652,-0.963940502,1.465239964,2.512392201,1.465239964,0.629200453,51,0.3158,83.9520659,0.963940502,55.22972249
5653,,,1.19578387,,1.19578387,59,0.399,0,0,0
5654,,,2.087268914,,1.05432374,98,0.8046,0,0,0
5655,0.082066082,1.921965523,2.125768255,1.219627131,1.015824399,64,0.451,110.1205128,6.201119226,355.2979599
5656,,,1.347185247,,1.347185247,69,0.503,0,0,0
5657,-0.790333269,2.004959301,1.724187156,1.136633353,1.417405497,66,0.4718,114.875706,0.790333269,45.2827607
5658,-0.839962214,2.015388053,1.834422849,1.1262046,1.307169804,30,0.0974,115.4732295,0.839962214,48.12628981
5659,,,1.079160612,,1.079160612,53,0.3366,0,0,0
5660,,,0.574392107,,0.574392107,48,0.2846,0,0,0
5661,2.69016109,0.897216015,2.436372885,0.897216015,0.705219769,44,0.243,51.40669096,3.593024217,205.8651233
5662,,,1.193742842,,1.193742842,39,0.191,0,0,0
5663,0.289252119,1.58722388,1.989446764,1.554368774,1.15214589,23,0.0246,90.94122944,5.993933189,343.4270744
