givenlat,deg,min,sec,lat,long,deg,min,sec,long,seconds,accel-x,accel-y,accel-z,gyro-x,gyro-y,gyro-z,mag-x,mag-y,mag-z
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,18,0.103043091,-1.031516895,0.01172052,4.1503936,2.7008076,15.869152,-1207.418896,-43900.93468,-19592.78785
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,19,0.070816528,-1.009544238,0.01953302,-3.7231472,-9.9487376,-2.441408,-1805.563416,-42555.10951,-21985.36593
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,20,0.076675903,-0.982200488,-0.013670105,2.441408,2.365114,-3.280642,-1656.027286,-41657.89273,-20639.54076
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,21,0.154312622,-0.944114551,0.179200989,-61.1725292,-28.4271444,19.4091936,-2104.635676,-45097.22372,-16901.13751
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,22,1.459488403,-0.428489551,0.791505676,-39.5050332,6.1187788,422.5772072,-35899.80106,-21919.12357,-1797.988377
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,23,0.95802356,-1.761009082,0.919923645,-38.7420932,-53.558388,-156.0822652,3428.201134,-44947.68759,20333.35886
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,25,-0.603011597,-0.710227832,1.605958801,-15.0146592,-29.3121548,499.9850996,-9282.369916,-24909.84617,40221.66415
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,26,-0.019027222,0.122291699,1.289552551,110.24483,163.4370068,-476.3187008,-2104.635676,-86.84858708,46651.71774
3028.67,30,28,67,30.48527778,9241.61,92,41,61,92.70027778,27,0.216324341,-0.513450488,1.148927551,-68.8019292,-13.0157564,-258.3772604,18830.42252,1258.976583,43062.85062
3028.67,30,28,67,30.48527778,9241.61,92,41,61,92.70027778,28,-0.60057019,-0.122337207,1.086427551,16.4337276,71.7773952,-171.432618,23615.57868,-26853.81586,38427.23059
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,29,0.081558716,-0.015891895,1.015138489,-16.9067504,-11.520394,-148.544418,-13917.98995,-23115.41261,39324.44737
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,30,-0.135238159,-0.098899707,0.876954895,-13.1378268,-23.498552,-226.5474036,-2852.316326,17558.41475,41417.95319
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,31,0.14552356,0.322487012,1.02343927,-22.5982828,-16.6015744,150.4822856,-9282.369916,12773.25859,42464.7061
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,32,-0.086410034,-0.151145801,0.947267395,12.9242036,14.5874128,4.4708284,-10777.73122,-14741.38933,44408.67579
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,33,-0.085921753,-0.053977832,0.89453302,-2.136232,-1.0375984,244.598564,9559.182464,-21320.97905,45455.4287
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,34,-0.161117065,-0.396262988,0.937990051,16.2353632,22.12526,499.9850996,25260.47611,11427.43342,41567.48932
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,35,0.036636841,-0.403587207,1.107911926,-1.220704,-13.0004976,227.508708,-26329.48874,-7563.655087,37230.94155
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,36,0.235855591,-0.066673145,1.062990051,13.9923196,-20.9961088,231.6896192,30793.31292,-18928.40097,36184.18864
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,37,-0.072738159,0.123756543,1.00390802,1.6632092,-46.3714932,160.1563648,21073.46447,11427.43342,44558.21192
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,38,-0.139144409,-0.217552051,0.906740051,3.6163356,24.2920096,112.7014968,-5394.430536,-984.0653671,45156.35644
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,40,-0.051253784,0.155983105,0.943849426,-2.5634784,-45.01346,33.4015132,-7188.864096,-6965.510567,46801.25387
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,41,-0.140609253,-0.143333301,0.993654114,36.163356,18.0511604,-62.713668,-5693.502796,12623.72246,43062.85062
